quarter,venue,market_count,total_volume
2021-Q2,Polymarket,3,137879.52939
2021-Q2,Kalshi,0,0
2021-Q2,Combined,3,137879.52939
2024-Q1,Polymarket,1,75679.372592
2024-Q1,Kalshi,0,0
2024-Q1,Combined,1,75679.372592
2024-Q2,Polymarket,1,115515.721521
2024-Q2,Kalshi,0,0
2024-Q2,Combined,1,115515.721521
2024-Q3,Polymarket,3,128708.751759
2024-Q3,Kalshi,0,0
2024-Q3,Combined,3,128708.751759
2024-Q4,Polymarket,3,257934.330865
2024-Q4,Kalshi,0,0
2024-Q4,Combined,3,257934.330865
2025-Q1,Polymarket,3,89892.668082
2025-Q1,Kalshi,3,246309.0
2025-Q1,Combined,6,336201.668082
2025-Q2,Polymarket,3,27754.287591
2025-Q2,Kalshi,10,184700.0
2025-Q2,Combined,13,212454.287591
2025-Q3,Polymarket,3,21186.319191
2025-Q3,Kalshi,15,279311.0
2025-Q3,Combined,18,300497.319191
2025-Q4,Polymarket,5,109046.739027
2025-Q4,Kalshi,21,3055.0
2025-Q4,Combined,26,112101.739027
