month,venue,market_count,total_volume
2021-04,Polymarket,3,137879.52939
2021-04,Kalshi,0,0
2021-04,Combined,3,137879.52939
2024-01,Polymarket,1,75679.372592
2024-01,Kalshi,0,0
2024-01,Combined,1,75679.372592
2024-04,Polymarket,1,115515.721521
2024-04,Kalshi,0,0
2024-04,Combined,1,115515.721521
2024-07,Polymarket,3,128708.751759
2024-07,Kalshi,0,0
2024-07,Combined,3,128708.751759
2024-10,Polymarket,3,257934.330865
2024-10,Kalshi,0,0
2024-10,Combined,3,257934.330865
2025-01,Polymarket,3,89892.668082
2025-01,Kalshi,3,246309
2025-01,Combined,6,336201.668082
2025-04,Polymarket,3,27754.287591
2025-04,Kalshi,10,184700
2025-04,Combined,13,212454.287591
2025-07,Polymarket,3,21186.319191
2025-07,Kalshi,15,279311
2025-07,Combined,18,300497.319191
2025-10,Polymarket,5,109046.739027
2025-10,Kalshi,21,3055
2025-10,Combined,26,112101.739027
